;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
750;(594, 100);(639, 123);(617, 123);(595, 191);(550, 213);(640, 123);(639, 235);(550, 213);(639, 304);(594, 438);(639, 573);(662, 304);(662, 461);(729, 595);(572, 78);(595, 78);(595, 79);(617, 78);(34, 0)
751;(594, 79);(639, 123);(662, 123);(707, 235);(550, 191);(639, 123);(617, 213);(550, 191);(639, 304);(595, 438);(617, 573);(662, 304);(684, 460);(751, 573);(572, 78);(595, 78);(595, 78);(639, 56);(34, 0)
752;(594, 78);(640, 123);(662, 123);(707, 214);(572, 168);(639, 123);(617, 213);(550, 191);(639, 303);(595, 438);(594, 573);(662, 303);(684, 439);(752, 573);(573, 78);(595, 56);(595, 78);(639, 56);(34, 0)
753;(594, 78);(640, 123);(662, 123);(707, 214);(550, 190);(639, 123);(617, 213);(550, 191);(639, 303);(595, 438);(594, 573);(662, 303);(684, 439);(774, 573);(573, 78);(595, 56);(595, 78);(639, 56);(34, 0)
754;(594, 79);(639, 123);(662, 123);(707, 235);(572, 191);(639, 123);(617, 213);(550, 213);(640, 303);(595, 438);(595, 573);(640, 303);(662, 460);(774, 551);(573, 78);(595, 78);(595, 78);(639, 56);(0, 0)
755;(594, 100);(639, 124);(662, 124);(707, 236);(550, 213);(639, 124);(639, 236);(572, 214);(639, 325);(595, 438);(617, 574);(640, 304);(662, 461);(774, 551);(573, 78);(595, 78);(595, 79);(639, 78);(34, 0)
756;(594, 101);(639, 145);(618, 145);(707, 236);(572, 213);(640, 145);(640, 236);(572, 236);(640, 326);(594, 439);(617, 595);(640, 326);(640, 483);(752, 551);(594, 79);(595, 78);(595, 101);(639, 78);(34, 0)
757;(594, 101);(639, 146);(617, 146);(617, 236);(572, 236);(640, 146);(640, 236);(572, 258);(640, 326);(595, 461);(640, 596);(662, 326);(639, 483);(752, 550);(594, 100);(595, 100);(595, 101);(639, 78);(34, 0)
758;(594, 101);(639, 146);(617, 146);(595, 235);(572, 258);(640, 146);(662, 236);(594, 280);(640, 326);(617, 483);(662, 596);(662, 326);(617, 483);(729, 550);(573, 101);(595, 100);(617, 101);(639, 79);(34, 0)
759;(594, 101);(639, 146);(617, 146);(617, 235);(573, 258);(640, 146);(684, 236);(595, 280);(640, 326);(617, 483);(662, 574);(662, 326);(595, 483);(707, 529);(572, 101);(595, 100);(617, 101);(639, 79);(34, 0)
760;(594, 101);(639, 146);(617, 146);(617, 236);(594, 258);(662, 146);(706, 236);(617, 280);(640, 326);(639, 461);(706, 551);(662, 326);(595, 461);(685, 551);(573, 101);(595, 100);(595, 101);(639, 78);(124, 0)
