;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
1089;(348, 146);(303, 169);(348, 191);(415, 258);(459, 213);(258, 168);(191, 235);(213, 213);(325, 326);(302, 483);(280, 618);(280, 326);(325, 483);(370, 618);(348, 124);(348, 146);(326, 145);(280, 124);(0, 0)
1090;(347, 146);(303, 190);(348, 191);(415, 258);(438, 213);(257, 168);(191, 236);(190, 281);(325, 326);(302, 483);(280, 618);(280, 326);(303, 483);(370, 618);(325, 146);(347, 123);(325, 146);(280, 124);(0, 0)
1091;(347, 146);(302, 190);(348, 191);(415, 258);(438, 213);(236, 168);(191, 236);(437, 213);(325, 326);(302, 483);(348, 596);(280, 326);(280, 483);(280, 618);(325, 146);(325, 124);(325, 146);(280, 124);(0, 0)
1092;(347, 146);(302, 190);(347, 191);(415, 258);(438, 213);(235, 168);(191, 258);(437, 213);(325, 326);(302, 461);(325, 595);(258, 326);(258, 461);(303, 573);(325, 146);(325, 146);(325, 146);(280, 124);(0, 0)
1093;(325, 146);(302, 190);(347, 191);(415, 258);(438, 213);(236, 169);(191, 258);(415, 213);(325, 326);(281, 483);(258, 573);(258, 326);(236, 461);(258, 596);(325, 146);(325, 124);(325, 146);(280, 124);(0, 0)
1094;(325, 146);(302, 190);(347, 191);(415, 258);(437, 213);(236, 169);(191, 258);(437, 213);(303, 326);(258, 483);(191, 573);(258, 326);(280, 483);(235, 618);(325, 146);(325, 145);(325, 146);(280, 124);(0, 0)
1095;(325, 168);(281, 191);(347, 191);(415, 258);(437, 213);(235, 191);(191, 258);(438, 213);(303, 326);(280, 505);(235, 618);(258, 326);(258, 483);(168, 574);(325, 146);(326, 146);(325, 146);(280, 124);(0, 0)
1096;(347, 146);(302, 191);(347, 191);(415, 258);(438, 213);(236, 191);(191, 258);(191, 213);(303, 348);(280, 484);(213, 618);(258, 326);(258, 483);(168, 595);(347, 146);(347, 146);(325, 146);(280, 145);(0, 0)
1097;(347, 146);(302, 191);(347, 191);(415, 258);(438, 213);(236, 191);(190, 258);(415, 213);(303, 348);(281, 483);(213, 596);(258, 348);(280, 483);(213, 596);(325, 146);(325, 168);(325, 146);(280, 145);(0, 0)
1098;(347, 146);(302, 191);(347, 191);(415, 258);(438, 213);(236, 191);(191, 258);(415, 213);(303, 348);(280, 483);(213, 596);(258, 348);(280, 483);(235, 596);(326, 146);(325, 168);(325, 146);(280, 145);(0, 0)
1099;(347, 168);(303, 191);(348, 191);(415, 258);(438, 213);(257, 191);(191, 258);(213, 236);(280, 348);(280, 483);(213, 596);(281, 348);(303, 505);(258, 596);(326, 146);(348, 146);(325, 146);(280, 145);(0, 0)
1100;(347, 168);(303, 191);(348, 191);(415, 258);(438, 213);(258, 191);(191, 258);(212, 236);(303, 348);(280, 484);(213, 596);(280, 348);(303, 505);(258, 596);(347, 146);(347, 168);(325, 146);(280, 145);(0, 0)
1101;(347, 168);(303, 191);(258, 191);(191, 258);(438, 213);(348, 191);(415, 258);(438, 213);(281, 348);(302, 483);(213, 618);(303, 348);(303, 483);(257, 596);(347, 146);(348, 146);(325, 146);(302, 146);(0, 0)
1102;(325, 168);(325, 191);(280, 191);(213, 258);(213, 236);(370, 191);(437, 258);(460, 214);(281, 348);(303, 483);(235, 618);(325, 348);(303, 483);(235, 618);(325, 146);(325, 146);(325, 146);(347, 146);(0, 0)
