;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
639;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
640;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
641;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
642;(729, 101);(684, 168);(640, 168);(572, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
643;(729, 101);(684, 168);(640, 168);(550, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
644;(729, 101);(684, 168);(640, 168);(550, 236);(617, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
645;(729, 101);(684, 168);(639, 168);(550, 236);(595, 326);(729, 168);(797, 168);(864, 123);(640, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
646;(729, 101);(684, 168);(639, 168);(550, 236);(595, 326);(729, 168);(797, 168);(864, 123);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
647;(729, 101);(684, 168);(639, 168);(550, 236);(595, 326);(729, 168);(797, 168);(864, 123);(639, 371);(594, 528);(549, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
648;(729, 101);(684, 168);(639, 168);(550, 236);(595, 325);(729, 168);(797, 168);(864, 123);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
649;(729, 101);(684, 168);(639, 168);(550, 236);(595, 326);(729, 168);(797, 168);(864, 123);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
650;(729, 101);(684, 168);(639, 168);(550, 236);(595, 325);(729, 168);(819, 168);(864, 123);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
651;(729, 101);(684, 168);(618, 168);(549, 236);(595, 325);(729, 168);(819, 168);(864, 123);(639, 371);(594, 528);(528, 641);(707, 371);(752, 506);(730, 640);(707, 79);(729, 78);(684, 101);(684, 191);(0, 0)
652;(729, 101);(684, 168);(617, 168);(549, 236);(595, 325);(729, 168);(819, 168);(864, 101);(639, 371);(573, 528);(528, 641);(707, 371);(752, 506);(730, 641);(707, 79);(729, 78);(662, 101);(684, 191);(0, 0)
