;head;neck;right_shoulder;right_elbow;right_wrist;left_shoulder;left_elbow;left_wrist;right_hip;right_knee;right_foot;left_hip;left_knee;left_foot;right_eye;left_eye;right_ear;left_ear;indet
499;(280, 168);(326, 236);(325, 236);(325, 304);(258, 326);(348, 235);(348, 304);(258, 326);(348, 393);(303, 506);(325, 641);(392, 393);(348, 506);(482, 573);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
500;(280, 168);(347, 235);(347, 235);(325, 303);(280, 281);(347, 236);(325, 303);(258, 303);(370, 393);(303, 506);(325, 640);(393, 393);(393, 528);(325, 663);(280, 146);(302, 146);(325, 168);(325, 168);(0, 0)
501;(280, 169);(347, 236);(348, 236);(370, 326);(280, 281);(325, 236);(280, 303);(258, 303);(370, 416);(303, 506);(325, 641);(415, 415);(437, 529);(550, 596);(280, 168);(302, 168);(370, 191);(325, 169);(0, 0)
502;(281, 191);(347, 258);(370, 258);(348, 326);(302, 303);(325, 258);(258, 304);(258, 281);(370, 416);(302, 528);(325, 641);(415, 416);(482, 528);(325, 663);(280, 190);(303, 190);(370, 191);(326, 191);(0, 0)
503;(281, 191);(347, 258);(370, 258);(348, 326);(302, 303);(325, 258);(258, 304);(258, 281);(370, 416);(302, 528);(325, 641);(415, 416);(482, 528);(325, 663);(280, 190);(303, 190);(370, 191);(326, 191);(0, 0)
504;(302, 213);(348, 259);(370, 259);(347, 348);(303, 303);(325, 280);(257, 325);(236, 303);(370, 438);(302, 528);(617, 618);(415, 438);(505, 529);(325, 663);(281, 191);(303, 191);(325, 213);(347, 213);(0, 0)
505;(302, 236);(348, 281);(370, 281);(348, 348);(303, 303);(325, 303);(236, 326);(257, 303);(392, 438);(302, 528);(325, 641);(415, 438);(527, 551);(325, 663);(302, 213);(303, 214);(392, 236);(347, 236);(0, 0)
506;(303, 236);(348, 303);(392, 303);(347, 371);(280, 303);(325, 304);(236, 348);(280, 303);(392, 461);(302, 528);(639, 641);(437, 461);(527, 551);(325, 663);(303, 236);(303, 236);(258, 281);(347, 236);(0, 0)
507;(303, 258);(370, 303);(392, 303);(348, 371);(281, 303);(347, 325);(257, 348);(280, 303);(392, 461);(280, 528);(325, 641);(437, 461);(527, 551);(325, 664);(303, 236);(325, 236);(325, 258);(347, 258);(0, 0)
508;(303, 236);(348, 303);(370, 303);(348, 371);(302, 326);(347, 303);(258, 348);(280, 303);(370, 461);(280, 528);(325, 641);(415, 461);(505, 551);(325, 663);(303, 236);(303, 236);(325, 236);(347, 236);(0, 0)
509;(303, 236);(348, 303);(370, 303);(348, 371);(302, 326);(347, 303);(258, 348);(280, 303);(392, 461);(280, 528);(325, 641);(415, 461);(527, 551);(325, 663);(303, 236);(303, 236);(325, 236);(347, 236);(0, 0)
510;(302, 235);(348, 281);(370, 281);(348, 370);(280, 326);(347, 281);(280, 348);(258, 325);(370, 439);(280, 528);(325, 641);(415, 439);(505, 551);(595, 618);(303, 213);(303, 213);(325, 235);(347, 235);(0, 0)
511;(281, 213);(348, 259);(348, 258);(325, 326);(302, 326);(347, 259);(303, 326);(280, 326);(370, 438);(280, 528);(325, 663);(415, 438);(460, 551);(572, 618);(281, 191);(303, 191);(325, 213);(326, 213);(0, 0)
512;(281, 191);(347, 258);(325, 258);(325, 304);(280, 326);(348, 258);(348, 326);(280, 326);(370, 416);(302, 528);(325, 641);(392, 416);(415, 551);(325, 663);(280, 190);(303, 169);(325, 213);(325, 191);(0, 0)
513;(280, 168);(347, 236);(325, 236);(325, 325);(280, 348);(348, 236);(370, 325);(303, 348);(348, 394);(303, 506);(325, 641);(392, 394);(392, 528);(505, 574);(280, 168);(303, 168);(325, 191);(325, 168);(0, 0)
514;(280, 168);(325, 236);(303, 236);(325, 325);(280, 349);(348, 214);(392, 303);(325, 371);(348, 393);(303, 506);(325, 641);(392, 393);(325, 506);(437, 551);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
515;(280, 168);(325, 236);(325, 236);(325, 325);(280, 370);(348, 214);(392, 303);(325, 371);(348, 393);(303, 506);(325, 641);(392, 393);(325, 506);(437, 551);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
516;(280, 146);(326, 235);(303, 236);(303, 325);(280, 371);(370, 213);(415, 303);(370, 371);(347, 371);(280, 461);(325, 641);(392, 371);(280, 461);(392, 529);(280, 146);(302, 146);(326, 191);(325, 168);(0, 0)
517;(280, 168);(347, 236);(303, 236);(303, 326);(280, 371);(370, 214);(415, 303);(393, 371);(326, 371);(257, 416);(325, 641);(370, 393);(303, 505);(348, 506);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
518;(280, 168);(347, 236);(302, 258);(303, 326);(280, 349);(370, 235);(415, 303);(415, 393);(325, 371);(235, 371);(303, 483);(370, 393);(303, 506);(325, 641);(280, 146);(302, 146);(325, 191);(325, 168);(0, 0)
519;(280, 168);(347, 258);(302, 258);(303, 326);(280, 326);(370, 236);(437, 304);(415, 393);(325, 371);(235, 349);(325, 641);(370, 394);(302, 506);(325, 641);(280, 168);(302, 168);(303, 168);(325, 168);(0, 0)
520;(280, 169);(326, 258);(302, 258);(302, 326);(280, 326);(370, 236);(437, 304);(415, 393);(325, 393);(235, 348);(325, 641);(348, 394);(235, 348);(303, 641);(280, 168);(302, 168);(303, 190);(325, 190);(0, 0)
